rank,company,vertical,score,buyer_role_open,buyer_roles_count,tools_detected,compliance_signals,open_roles,size_flag,evidence_url,disqualifier
1,Abnormal Security,regtech,105,"Customer Success Manager, Mid-Market North Central & Northwest",11,"jira, salesforce, slack, gong, looker, outreach, zendesk","audit, compliance, fedramp, gdpr, iso 27001, phi, regulated, soc 2",80,,https://abnormal.ai/careers/jobs/7809956003?gh_jid=7809956003,
2,Ramp,fintech,102,"Associate Manager, Premier Support (Customer Experience)",10,"notion, salesforce, slack, netsuite, zendesk","audit, compliance, fedramp, gdpr, hipaa, phi, regulated, soc 2",136,,https://jobs.ashbyhq.com/ramp/d64609dd-c391-45a2-bfdb-c1bb34e8f93c,
3,Grow Therapy,healthtech,90,"Senior Manager, Marketing Operations",1,"notion, slack, asana","audit, compliance, phi, regulated",33,,https://jobs.ashbyhq.com/grow-therapy/3b5eabca-f87b-4118-b82e-4f715cb11a46,
4,Counterpart,insurtech,90,Revenue Operations Lead,1,"hubspot, salesforce, intercom","audit, compliance, hipaa, phi, regulated, soc 2",10,,https://job-boards.greenhouse.io/counterpart/jobs/4718521005,
5,Drata,regtech,90,Senior Marketing Operations Specialist,1,"hubspot, salesforce, asana","audit, compliance, fedramp, gdpr, hipaa, iso 27001, pci, phi, regulated, soc 2, soc2",50,,https://jobs.ashbyhq.com/drata/c3fdb5d0-dc77-4d71-a2e5-1c85ebaf3ed8,
6,Mercury,fintech,87,Senior Customer Support Operations Readiness Program Manager,2,"salesforce, linear, outreach, zendesk","audit, baa, compliance, iso 27001, pci, phi, regulated, soc 2, soc2",56,,https://job-boards.greenhouse.io/mercury/jobs/6144592004,
7,Sardine,fintech,87,Revenue Operations Manager,1,"hubspot, salesforce","audit, compliance, fedramp, gdpr, iso 27001, pci, phi, regulated, soc 2",35,,https://jobs.ashbyhq.com/sardine/b6ca1fd5-a374-4c99-a6fd-a0c4d0859a61,
8,Checkr,regtech,87,Revenue Operations Manager - Post Sales,6,"salesforce, looker, outreach, zendesk","audit, compliance, phi, regulated",45,,https://job-boards.greenhouse.io/checkr/jobs/8048875,
9,Spring Health,healthtech,84,"Director, Business Operations & Strategy",7,"salesforce, asana, looker","audit, baa, business associate agreement, compliance, gdpr, hipaa, iso 27001, pci, phi, regulated, soc 2",44,,https://jobs.ashbyhq.com/spring-health/77054c73-a0f2-4110-94f7-3c894e7e308b,
10,Alloy,fintech,81,Channel Operations Manager,1,"salesforce, gong","audit, compliance, phi, regulated",25,,https://www.alloy.com/about/jobs/detail?gh_jid=8691237002&gh_jid=8691237002,
11,Persona,regtech,81,Customer Operations Manager,1,"salesforce, looker","compliance, gdpr, hipaa, phi, soc 2",18,,https://jobs.ashbyhq.com/persona/3394c9a4-9b9f-45f9-a56d-9a4c8619c7f7,
12,Tines,regtech,81,Senior Customer Success Manager - East/Public Sector,4,"salesforce, intercom","audit, compliance, fedramp, hipaa, iso 27001, phi, regulated, soc 2, soc2",25,,https://job-boards.greenhouse.io/tines/jobs/6100569004,
13,Vanta,regtech,81,"Sr. Manager, Commercial Customer Success (East Region)",8,"salesforce, gong","audit, compliance, fedramp, gdpr, hipaa, iso 27001, phi, regulated, soc 2",103,,https://jobs.ashbyhq.com/vanta/a8b0c3e0-326c-4f34-876f-4903430d75d9,
14,Watershed,saas,81,"Customer success manager, strategic",3,"salesforce, looker","audit, compliance, phi",34,,https://jobs.ashbyhq.com/watershed/c11056e0-8841-4b91-9f13-e1a04ad7e858,
15,Headway,healthtech,75,Revenue Strategy & Operations Manager (Insights & AI),7,"looker, outreach","audit, compliance, hipaa, phi, regulated",81,,https://jobs.ashbyhq.com/headway/9040d21a-0b46-4a21-b778-02a4e9610647,
16,Coast,fintech,74,"Chief of Staff, Office of the CEO",2,"notion, salesforce, outreach",compliance,17,,https://job-boards.greenhouse.io/coast/jobs/6121098004,
17,Included Health,healthtech,73,"Director, Staffing Transformation & Operations",2,"hubspot, salesforce, gong, looker","audit, compliance, hipaa, phi",151,LARGE,https://jobs.lever.co/includedhealth/f2ff4c30-ab1a-49b4-8c2e-7abad6d5c7eb,"151 open roles: likely enterprise, probable Glean territory; kept as a compliance-wedge stress test"
18,Oscar Health,healthtech,70,"Program Manager, Vendor Management Operations",18,"google workspace, salesforce, zendesk","audit, compliance, fedramp, hipaa, phi, regulated, soc2",253,LARGE,http://www.hioscar.com/careers/8143810?gh_jid=8143810,"253 open roles: likely enterprise, probable Glean territory; kept as a compliance-wedge stress test"
19,Collective Health,healthtech,69,Senior Client Operations Manager,1,none in buyer JDs,"audit, baa, business associate agreement, compliance, hipaa, phi, regulated, soc2",15,,https://jobs.collectivehealth.com/apply/?gh_jid=8126363,
20,Gusto,fintech,69,Conversion Operations Associate,4,none in buyer JDs,"audit, compliance, iso 27001, pci, phi, regulated",91,,https://job-boards.greenhouse.io/gusto/jobs/8143042,
21,Socure,regtech,69,"Strategic Operations Lead - Payments, Lending & Telco",2,none in buyer JDs,"audit, compliance, gdpr, phi, regulated",99,,https://jobs.ashbyhq.com/socure/e3b699e8-328f-4541-8b56-7d7e332efb57,
22,Middesk,regtech,69,Operations Analyst (Temporary) ,1,none in buyer JDs,"audit, compliance, fedramp, phi, regulated, soc 2",21,,https://jobs.ashbyhq.com/middesk/63d737cf-47b8-44b6-80f0-1b6f57a7c9b3,
23,Brex,fintech,67,"GTM AI Revenue Enablement, Senior Manager",25,"salesforce, gong, netsuite, outreach","audit, compliance, gdpr, phi, regulated",294,LARGE,https://www.brex.com/careers/8550065002?gh_jid=8550065002,"294 open roles: likely enterprise, probable Glean territory; kept as a compliance-wedge stress test"
24,Coalition,insurtech,64,Customer Success Manager,2,none in buyer JDs,"audit, compliance, gdpr, hipaa, iso 27001, pci, phi, regulated",39,,https://www.coalitioninc.com/job-posting?gh_jid=4721223005,
