name,segment,ats,token
Oscar Health,healthtech,greenhouse,oscar
Collective Health,healthtech,greenhouse,collectivehealth
Two Chairs,healthtech,greenhouse,twochairs
Lyra Health,healthtech,lever,lyrahealth
Ro,healthtech,lever,ro
Sidecar Health,healthtech,greenhouse,sidecarhealth
Tia,healthtech,greenhouse,tia
Komodo Health,healthtech,greenhouse,komodohealth
Abridge,healthtech,ashby,abridge
Included Health,healthtech,lever,includedhealth
Headway,healthtech,ashby,headway
Grow Therapy,healthtech,ashby,grow-therapy
Spring Health,healthtech,ashby,spring-health
Mercury,fintech,greenhouse,mercury
Relay,fintech,lever,relay
Lithic,fintech,greenhouse,lithic
Brex,fintech,greenhouse,brex
Gusto,fintech,greenhouse,gusto
Highnote,fintech,greenhouse,highnote
Finix,fintech,lever,finix
Ramp,fintech,ashby,ramp
Sardine,fintech,ashby,sardine
Parafin,fintech,ashby,parafin
Capchase,fintech,ashby,capchase
Rho,fintech,ashby,rho
Coast,fintech,greenhouse,coast
Pigment,saas,lever,pigment
Coalition,insurtech,greenhouse,coalition
Counterpart,insurtech,greenhouse,counterpart
Openly,insurtech,ashby,openly
Kin,insurtech,ashby,kin
Alloy,fintech,greenhouse,alloy
Persona,regtech,ashby,persona
Socure,regtech,ashby,socure
Middesk,regtech,ashby,middesk
Trulioo,regtech,ashby,trulioo
Stytch,regtech,ashby,stytch
WorkOS,regtech,ashby,workos
Secureframe,regtech,lever,secureframe
Thoropass,regtech,greenhouse,thoropass
Tines,regtech,greenhouse,tines
Vanta,regtech,ashby,vanta
Drata,regtech,ashby,drata
Hyperproof,regtech,greenhouse,hyperproof
Huntress,regtech,greenhouse,huntress
Abnormal Security,regtech,greenhouse,abnormalsecurity
Checkr,regtech,greenhouse,checkr
Planhat,saas,ashby,planhat
Watershed,saas,ashby,watershed
