rank,company,segment,score,buyer_role_open,buyer_roles_count,signals,open_roles,evidence_url,note
1,Skydio,drones-aerospace,89,"Senior Autonomy Engineer, Data Curation",22,"ai_stack: computer vision; data_scale: annotation, data pipeline, labeling, large-scale data, logs; scaling_now: first; deploy_scale: at scale, fleets of",129,https://jobs.ashbyhq.com/skydio/134f29cc-da9f-4214-9d9c-d044f93af39e,
2,Apptronik,humanoid,84,Staff MLOps Engineer,7,"ai_stack: manipulation; data_scale: data platform, labeling, teleoperation; sim_tooling: isaac, mujoco, simulation; deploy_scale: at scale, in production",79,https://boards.greenhouse.io/apptronik/jobs/6008787004?gh_jid=6008787004,
3,Physical Intelligence,foundation-models,80,ML Infra Engineer (Data Systems),3,"ai_stack: foundation model; data_scale: annotation, data infrastructure, data pipeline, data platform, large-scale data, petabyte; deploy_scale: at scale",33,https://jobs.ashbyhq.com/physicalintelligence/1f6cf3eb-f70f-480b-9fff-befd56c7fd07,
4,Serve Robotics,service-healthcare,80,Lead Machine Learning Engineer ,1,"ai_stack: computer vision; data_scale: data pipeline, large-scale data, logs, petabyte, sensor data; deploy_scale: in production",40,https://jobs.ashbyhq.com/serverobotics/021eee2a-bd13-4e70-9342-a8f46f2384f9,
5,Path Robotics,manufacturing-inspection,72,Staff Robotics Software Engineer,8,"ai_stack: foundation model, manipulation, reinforcement learning, slam; sim_tooling: simulation; deploy_scale: in production",49,https://boards.greenhouse.io/pathrobotics/jobs/8676058002?gh_jid=8676058002,
6,Nimble Robotics,warehouse-logistics,72,"Head of Data Collection Operations, Nimble Brain",4,"data_scale: annotation, data pipeline, labeling; scaling_now: first, founding; deploy_scale: at scale",33,https://job-boards.greenhouse.io/nimblerobotics/jobs/4327784009,
7,1X Technologies,humanoid,69,"Staff Tools Engineer, Simulation",3,"scaling_now: first; sim_tooling: digital twin, gazebo, isaac, mujoco, ros2, simulation; deploy_scale: at scale",82,https://jobs.ashbyhq.com/1x/a7e8ba31-8369-4b44-ae26-efd4a23f7118,
8,Figure AI,humanoid,68,"Helix AI Engineer, Perception",1,"ai_stack: computer vision, slam; data_scale: annotation, data engine; deploy_scale: in production",125,https://job-boards.greenhouse.io/figureai/jobs/4007375006,
9,Agility Robotics,humanoid,67,"Staff AI Engineer, Perception",6,"ai_stack: computer vision, manipulation; data_scale: annotation; scaling_now: first; deploy_scale: in production",60,https://www.agilityrobotics.com/about/job-post?gh_jid=5973040004,
10,Diligent Robotics,service-healthcare,66,"Senior Product Manager, Robotics & Autonomy",3,"ai_stack: computer vision, foundation model, reinforcement learning; sim_tooling: simulation; deploy_scale: commercial deployment",17,https://job-boards.greenhouse.io/diligentrobotics/jobs/7807900003,
11,Locus Robotics,warehouse-logistics,64,"Lead, Robotics Software Engineer",1,"ai_stack: manipulation; data_scale: data pipeline; sim_tooling: ros2; deploy_scale: at scale, in production",9,https://job-boards.greenhouse.io/locusrobotics/jobs/5217350007,
12,Third Wave Automation,warehouse-logistics,63,Technical Lead Manager - Robotics Software Engineering,1,"ai_stack: llm, generative, slam; scaling_now: first",7,https://job-boards.greenhouse.io/thirdwaveautomation/jobs/7738016003,
13,Dexterity,warehouse-logistics,60,Head of Computer Vision and Machine Learning,2,"ai_stack: computer vision; data_scale: data pipeline; deploy_scale: at scale, in production",33,https://jobs.lever.co/dexterity/c09a7805-2a30-4f94-aaf4-4547fb619047,
14,Zipline,drones-aerospace,58,Senior Data Engineer - Data Platform,6,"data_scale: data engine, data infrastructure, data platform, sensor data; scaling_now: first; deploy_scale: at scale",319,https://www.zipline.com/open-roles?gh_jid=7810390003,"319 open roles: likely late-stage, longer procurement; kept as a stress case"
15,Gather AI,warehouse-logistics,55,Director of Machine Learning,4,ai_stack: computer vision; scaling_now: build out; deploy_scale: at scale,15,https://job-boards.greenhouse.io/gatherai/jobs/5066902007,
16,Waabi,autonomy-software,50,Senior / Staff Machine Learning Infrastructure Engineer,10,data_scale: data engine; deploy_scale: in production,82,https://jobs.lever.co/waabi/1b9e7190-acb7-47bb-b6e4-d589d8561082,
17,Bright Machines,manufacturing-inspection,50,Senior Robot Perception Engineer - Visual Inspection/MLOps,1,ai_stack: computer vision; deploy_scale: at scale,12,https://jobs.lever.co/brightmachines/11d4d161-799d-42d6-bcbb-ad7f9447c267,
18,Nuro,autonomy-software,48,"Director of Engineering, Eval Platform",32,sim_tooling: simulation; deploy_scale: at scale,102,https://nuro.ai/careersitem?gh_jid=7577458,
19,Field AI,foundation-models,46,"Staff ML Systems Engineer, Distributed Systems",26,ai_stack: transformer,118,https://jobs.lever.co/field-ai/b25116fc-e172-4016-80ad-3b2ce10da08b,
20,Pickle Robot,warehouse-logistics,44,Backend Software Engineer – Autonomy,3,deploy_scale: in production,13,https://jobs.lever.co/picklerobot/b2a24088-cc18-4ae0-afbc-2a107b4f9acb,
21,Ambi Robotics,warehouse-logistics,44,Senior Robotics Software Engineer,1,deploy_scale: at scale,6,https://jobs.lever.co/ambirobotics/f44f436c-3470-4e10-abcb-d8c12b91c6e2,
22,Anduril,defense,36,"Deputy Chief Engineer, TRS Edge Autonomy",89,ai_stack: computer vision; scaling_now: ground up,2193,https://boards.greenhouse.io/andurilindustries/jobs/5098951007?gh_jid=5098951007,"2193 open roles: likely late-stage, longer procurement; kept as a stress case"
23,Shield AI,defense,29,"Chief Engineer, Autonomy (R4614)",46,sim_tooling: simulation,427,https://jobs.lever.co/shieldai/144f5cec-7d0c-40eb-99b9-dd6f89fa7a91,"427 open roles: likely late-stage, longer procurement; kept as a stress case"
24,Collaborative Robotics,humanoid,0,none open now,0,none in role JD,11,,no buyer role open right now; low intent this scan
25,Sanctuary AI,humanoid,0,none open now,0,none in role JD,6,,no buyer role open right now; low intent this scan
26,Standard Bots,manufacturing-inspection,0,none open now,0,none in role JD,36,,no buyer role open right now; low intent this scan
27,Carbon Robotics,agriculture,0,none open now,0,none in role JD,15,,no buyer role open right now; low intent this scan
28,Formic,warehouse-logistics,0,none open now,0,none in role JD,34,,no buyer role open right now; low intent this scan
29,Fox Robotics,warehouse-logistics,0,none open now,0,none in role JD,7,,no buyer role open right now; low intent this scan
30,Cobalt Robotics,service-healthcare,0,none open now,0,none in role JD,10,,no buyer role open right now; low intent this scan
31,Polymath Robotics,robotics-infra,0,none open now,0,none in role JD,5,,no buyer role open right now; low intent this scan
